n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
21,1001,1.0,-0.22501627604166666,11110
21,1001,1.5,-0.13212076822916666,11111
21,1001,2.0,-0.079833984375,11112
21,1002,1.0,-0.21183268229166666,11120
21,1002,1.5,-0.12569173177083334,11121
21,1002,2.0,-0.07145182291666667,11122
21,1003,1.0,-0.21382649739583334,11130
21,1003,1.5,-0.12825520833333334,11131
21,1003,2.0,-0.07963053385416667,11132
21,1004,1.0,-0.21846516927083334,11140
21,1004,1.5,-0.13028971354166666,11141
21,1004,2.0,-0.08138020833333333,11142
21,1005,1.0,-0.2135009765625,11150
21,1005,1.5,-0.13326009114583334,11151
21,1005,2.0,-0.08272298177083333,11152
21,1006,1.0,-0.22208658854166666,11160
21,1006,1.5,-0.13936360677083334,11161
21,1006,2.0,-0.0821533203125,11162
21,1007,1.0,-0.21284993489583334,11170
21,1007,1.5,-0.13334147135416666,11171
21,1007,2.0,-0.07373046875,11172
22,1000,1.0,-0.16044108072916666,11200
22,1000,1.5,-0.09029134114583333,11201
22,1000,2.0,-0.050089518229166664,11202
22,1001,1.0,-0.16422526041666666,11210
22,1001,1.5,-0.093994140625,11211
22,1001,2.0,-0.0576171875,11212
22,1002,1.0,-0.16483561197916666,11220
22,1002,1.5,-0.09183756510416667,11221
22,1002,2.0,-0.0626220703125,11222
22,1003,1.0,-0.15974934895833334,11230
22,1003,1.5,-0.09391276041666667,11231
22,1003,2.0,-0.055989583333333336,11232
22,1004,1.0,-0.15555826822916666,11240
22,1004,1.5,-0.09370930989583333,11241
22,1004,2.0,-0.054036458333333336,11242
22,1005,1.0,-0.16536458333333334,11250
22,1005,1.5,-0.1082763671875,11251
22,1005,2.0,-0.066162109375,11252
22,1006,1.0,-0.161865234375,11260
22,1006,1.5,-0.1005859375,11261
22,1006,2.0,-0.054402669270833336,11262
22,1007,1.0,-0.15755208333333334,11270
22,1007,1.5,-0.09765625,11271
22,1007,2.0,-0.045206705729166664,11272
23,1000,1.0,-0.10628255208333333,11300
23,1000,1.5,-0.06380208333333333,11301
23,1000,2.0,-0.028605143229166668,11302
23,1001,1.0,-0.09745279947916667,11310
23,1001,1.5,-0.06302897135416667,11311
23,1001,2.0,-0.0283203125,11312
23,1002,1.0,-0.09932454427083333,11320
